˜Ï,ãæÌæÏ?,ProductId,QuantityId,CurrentQuantity
626111110940,24,4576,5019,24
626111110939,24,4577,5020,24
626111110954,24,4578,5021,24
626111110957,12,4579,5022,12
626111110631,12,4580,5023,12
626111110953,12,4581,5024,12
626111111018,12,4582,5025,12
626111110956,24,4583,5026,12
626111110952,24,4584,5027,24
626111110956-1,24,4585,5028,24
626111110951,24,4586,5029,24
626111110358,24,4587,5030,24
626111110147,6,4588,5031,6
626111110148,6,4589,5032,6
626111110163,12,4590,5033,12
1300002,12,3490,3945,12
1300001,12,3491,3946,11
1300005,12,3492,3947,12
1300003,12,3493,3948,12
1300004,12,3494,3949,12
1300006,12,3495,3950,12
1300010,12,3496,3951,12
1300009,12,3497,3952,12
1300008,12,3498,3953,12
1300013,12,3499,3954,12
1300007,12,3500,3955,12
1300011,12,3501,3956,12
6260582700390,8,3566,4535,
6260582700406,8,,,
6260582700277,8,,,
6260582700765,8,,,
6260582700031,8,,,
6260582700451,8,,,
6260582700420,8,,,
6260582700789,8,,,
6260582700994,8,,,
6260582700956,8,,,
6260582701601,12,,,
6260582701595,9,,,
6260582701885,12,,,
6260582702165,8,,,
6260582701953,9,,,
6260582700796,8,,,
6260176808983,10,,,
6260176812607,10,,,
6260176808990,10,,,
1000640,10,,,
6260176808792,10,,,
6260176813970,10,,,
6260176813734,10,,,
6260176808815,10,,,
6260176808785,10,,,
6260176808778,10,,,
6260176808808,10,,,
1000601,10,,,
6260176840051,21,,,
6260176819002,3,,,
6260176814366,3,,,
1000607,12,,,
6260176840013,12,,,
6260176830014,12,,,
6260176820312,10,,,
6260176820114,10,,,
6260176821111,10,,,
6260176822316,10,,,
6260176822118,10,,,
6260176820213,10,,,
6260176820015,10,,,
6260176802929,120,,,
6260176802936,60,,,
6262469900015,24,,,
6262469900022,24,,,
6262469900077,24,,,
6262469900084,24,,,
6262469900091,12,,,
6262469900107,12,,,
6262469900114,12,,,
6262469900503,9,,,
6262469900473,9,,,
6262469900749,9,,,
6262469900879,9,,,
6260137104042,12,,,
6260137106783,12,,,
6260137104123,24,,,
6260137105175,20,,,
6260137107179,20,,,
6260137103454,24,,,
6260137103003,12,,,
6260137106707,12,,,
6260137103010,12,,,
6260137102983,12,,,
6263957100191,90,,,
6263957100184,164,,,
6263957100160,164,,,
6263957100450,18,,,
6263957100122,12,,,
6263957100108,12,,,
6263957100115,12,,,
6263957100566,12,,,
0-154000108200002,100,,,
0-154000108200003,100,,,
6266824400394,15,,,
6266824400844,15,,,
6266824401780,15,,,
6266824401063,15,,,
6266824400868,15,,,
6266824401933,24,,,
6266824402275,24,,,
6266824402282,24,,,
6266824402251,24,,,
6266824402213,24,,,
6260435200152,40,,,
6260435200145,15,,,
6260435200190,40,,,
6260435200213,40,,,
6260435200206,40,,,
6260200615044,40,,,
6260200612760,12,,,
6260200610506,12,,,
6260200615075,45,,,
6260136100447,9,,,
6260136100447-1,7,,,
6260136100447-2,14,,,
6260136100447-3,11,,,
6260136100010,13,,,
6260136100010-1,18,,,
6260136100010-2,9,,,
6260136100010-3,14,,,
6260136100010-4,8,,,
6260136100010-5,8,,,
6260136100010-6,5,,,
6260136100010-7,1,,,
6260136100010-8,4,,,
6260136100010-9,2,,,
6260136101185,5,,,
6260136101185-1,10,,,
6260136100720,2,,,
6260136100720-1,2,,,
6260136100720-2,1,,,
6260136100720-3,1,,,
6260136100720-4,5,,,
6260136100720-5,7,,,
6260136100720-6,8,,,
6260136100720-7,8,,,
6260136100546,36,,,
6260136100089,72,,,
coc001,60 ,,,
coc002,60 ,,,
coc003,60 ,,,
coc004,60 ,,,
coc005,144 ,,,
coc006,120 ,,,
coc007,72 ,,,
coc008,96,,,
coc009,120,,,
coc010,72,,,
coc011,96,,,
coc012,54,,,
coc013,30,,,
coc014,36,,,
coc015,18,,,
coc016,12,,,
6269303300413,48,,,
6269303300444,48,,,
6269303300420,48,,,
6269303300451,48,,,
6269303300574,48,,,
6269303300499,48,,, 
6269303300550,48,,,
6269303300567,48,,,
6269303300468,48,,,
6269303300529,48,,,
6269303300505,48,,,
6269303300512,48,,,
6269303300857,48,,,
6269303300864,24,,,
6269303300826,12,,,
6269303300833,12,,,
6269303300659,48,,,
6269303300635,48,,,
6269303300765,48,,,
6269303300642,48,,,
6269303300710,48,,,
6269303300734,48,,,
6269303300697,48,,,
6269303300673,48,,,
6269303300628,48,,,
6269303300680,48,,,
6269303300819,48,,,
6269303300802,48,,,
6269303300703,48,,,
6269303300581,16,,,
6269303300888,20,,,
6269303300246,12,,,
6269303300383,12,,,
6269303300611,12,,,
6269303300741,20,,,
6269303300376,18,,,
6269303300758,10,,,
6269303300215,48,,,
6269303300222,6,,,
6269303300260,96,,,
6269303300277,12,,,
AJA001,5,,,
AJA002,5,,,
AJA003,5,,,
AJA004,5,,,
AJA005,5,,,
AJA006,5,,,
AJA007,5,,,
AJA008,5,,,
AJA009,5,,,
AJA010,5,,,
AJA011,5,,,
AJA012,5,,,
AJA013,5,,,
AJA014,5,,,
AJA015,5,,,
AJA016,5,,,
AJA017,5,,,
AJA018,5,,,
AJA019,5,,,
AJA020,5,,,
AJA021,5,,,
AJA022,5,,,
AJA023,5,,,
AJA024,5,,,
AJA025,5,,,
AJA026,5,,,
AJA027,5,,,
AJA028,5,,,
AJA029,5,,,
AJA030,5,,,
AJA031,5,,,
AJA032,5,,,
AJA033,5,,,
AJA034,5,,,
AJA035,5,,,
AJA036,5,,,
AJA037,5,,,
AJA038,5,,,
AJA039,5,,,
AJA040,5,,,
AJA041,5,,,
AJA042,5,,,
AJA043,5,,,
AJA044,5,,,
AJA045,5,,,
AJA046,5,,,
AJA047,5,,,
AJA048,5,,,
AJA049,5,,,
AJA050,5,,,
AJA051,5,,,
AJA052,5,,,
AJA053,5,,,
AJA054,5,,,
AJA055,5,,,
AJA056,5,,,
AJA057,5,,,
AJA058,5,,,
AJA059,5,,,
AJA060,5,,,
AJA061,5,,,
AJA062,5,,,
AJA063,5,,,
AJA064,5,,,
AJA065,5,,,
AJA066,5,,,
AJA067,5,,,
AJA068,5,,,
AJA069,5,,,
AJA070,5,,,
AJA071,5,,,
AJA072,5,,,
AJA073,5,,,
AJA074,5,,,
AJA075,5,,,
AJA076,5,,,
AJA077,5,,,
AJA078,5,,,
AJA079,5,,,
AJA080,5,,,
AJA081,5,,,
AJA082,5,,,
AJA083,5,,,
AJA084,5,,,
AJA085,5,,,
AJA086,5,,,
AJA087,5,,,
AJA088,5,,,
AJA089,5,,,
AJA090,5,,,
AJA091,5,,,
AJA092,5,,,
AJA093,5,,,
AJA094,5,,,
AJA095,5,,,
AJA096,5,,,
6260031003188,12,,,
6260031003218,4,,,
6260031044167,12,,,
6260031044181,4,,,
6260031044365,12,,,
6260031044389,4,,,
6260031043054,12,,,
6260031065063,4,,,
6260031003515,12,,,
6260031060495,4,,,
6260031041500,12,,,
6260031041548,4,,,
6260031007360,24,,,
6260031031044,24,,,
6260031031020,24,,,
6260031003713,24,,,
6260031029041,24,,,
6260031040039,12,,,
6260031000026,24,,,
6260031010063,12,,,
6260031000057,24,,,
6260031021038,24,,,
6260031022035,24,,,
6260031023032,24,,,
6260031045010,12,,,
6260031045041,4,,,
6260031002846,24,,,
168300002610025,24,,,
168300002610055,24,,,
168300002610079,24,,,
168300002610075,24,,,
1683000026110070,24,,,
168300002610078,48,,,
168300002610051,6,,,
168300002610092,24,,,
168300002610090,24,,,
6260192708236,30,,,
6260192702319,50,,,
6260192703385,12,,,
6260192704863,48,,,
6260192708847,24,,,
6260192703316,48,,,
6260192708908,24,,,
6260192704146,12,,,
6260192704214,48,,,
6260192704139,12,,,
6260192703170,48,,,
6260192705907,48,,,
6260192708540,12,,,
6260192704474,8,,,
6260192708830,24,,,
6260192703323,48,,,
6260192703422,12,,,
6260192704566,48,,,
6260192704368,24,,,
6260192704238,48,,,
6260192703958,12,,,
6260192708830,24,,,
6260192704245,48,,,
6260192704252,48,,,
6260192703965,12,,,
6260192703989,12,,,
6260192703415,12,,,
6260192704528,8,,,
6260192702319,50,,,
6260192703989,12,,,
6260192704283,12,,,
6260192704269,48,,,
6260192706065,12,,,
6260192703972,12,,,
6260192703163,48,,,
6260192704849,8,,,
207217,12,,,
207215,12,,,
207220,12,,,
207216,12,,,
207218,12,,,
207219,12,,,
207802,12,,,
207811,15,,,
sma0001,50,,,
sma0002,50,,,
sma0003,100,,,
sma0004,50,,,
sma0005,100,,,
sma0006,50,,,
sma0007,50,,,
sma0008,30,,,
sma0009,30,,,
sma0010,50,,,
6262863400128,12,,,
6262863400098,6,,,
6262863400104,6,,,
6262863400081,12,,,
6262863400050,12,,,
6262863400036,48,,,
6262863400418,48,,,
6262863400319,6,,,
6262863400531,12,,,
6262863400401,12,,,
6262863400876,6,,,
6262863400630,6,,,
6260308300583,12,,,
6260308300415,12,,,
6260308300408,24,,,
6260308333024,24,,,
6260308332478,24,,,
6260308320215,8,,,
6260308330078,24,,,
6260308333222,24,,,
6260308300330,12,,,
6260308331815,12,,,
6260308320093,24,,,
62636972400566,24,,,
62636972400016,12,,,
62636972400559,24,,,
62636972400320,24,,,
62636972400238,22,,,
62636972400030,24,,,
62636972400429,12,,,
62636972400191,32,,,
62636972400443,32,,,
62636972400481,25,,,
62636972400016,24,,,
62636972400573,24,,,
6260022324018,36,,,
6260022324025,36,,,
6260022324032,36,,,
6260022300494,30,,,
6260022301002,8,,,
6260022373108,72,,,
6260415738101,18,,,
3423,8,,,
6269352100491,24,,,
6269352100453,24,,,
6269352101245,24,,,
6269352100484,24,,,
6269352100385,24,,,
6269352100477,24,,,
6269352100439,24,,,
6269352100828,12,,,
6269352101078,12,,,
6269352100699,12,,,
6269352100675,12,,,
6269352101368,12,,,
